movieid|Title|Year|Rated|Released|Runtime|Director|Writer|Actors|Poster|imdbRating|imdbVotes|imdbID|Action|Adventure|Animation|Biography|Comedy|Crime|Documentary|Drama|Family|Fantasy|History|Horror|Mystery|Romance|Sci-Fi|Thriller|War|Western
15|Absolon|2003|R|38624|1 h 36 min|David DeBartolomé|Brad Mirman|Christopher Lambert, Kelly Brook, Lou Diamond Phillips, Ron Perlman|http://ia.media-imdb.com/images/M/MV5BMTY0ODE4Nzg5OV5BMl5BanBnXkFtZTcwNzM5MDUyMQ@@._V1_SX300.jpg|4.2|2252|tt0300902|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0
16|Absolute Power|1997|R|35475|2 h 1 min|Clint Eastwood|David Baldacci, William Goldman|Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney|http://ia.media-imdb.com/images/M/MV5BMjA0NTYxMzY2NF5BMl5BanBnXkFtZTcwNTg5NjIyMQ@@._V1_SX300.jpg|6.6|28744|tt0118548|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|0
17|After Hours|1985|R|31331|1 h 37 min|Martin Scorsese|Joseph Minion|Griffin Dunne, Rosanna Arquette, Verna Bloom, Tommy Chong|http://ia.media-imdb.com/images/M/MV5BMTgxMDUzOTg3MF5BMl5BanBnXkFtZTcwOTM1NDkxMQ@@._V1_SX300.jpg|7.6|25832|tt0088680|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0
18|Alexander|2004|R|38315|2 h 55 min|Oliver Stone|Oliver Stone, Christopher Kyle|Colin Farrell, Anthony Hopkins, Rosario Dawson, Angelina Jolie|http://ia.media-imdb.com/images/M/MV5BMTA1NDQ3OTY2NDVeQTJeQWpwZ15BbWU3MDI5MDc0MzM@._V1_SX300.jpg|5.4|100746|tt0346491|1|1|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|0
19|Alice Doesn't Live Here Anymore|1974|PG|27544|1 h 52 min|Martin Scorsese|Robert Getchell|Ellen Burstyn, Kris Kristofferson, Mia Bendixsen, Alfred Lutter III|http://ia.media-imdb.com/images/M/MV5BMTc0NzYzNDI5N15BMl5BanBnXkFtZTcwNzEyNTY1Mw@@._V1_SX300.jpg|7.4|10789|tt0071115|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0
20|Alien|1979|R|29000|1 h 57 min|Ridley Scott|Dan O'Bannon, Ronald Shusett|Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright|http://ia.media-imdb.com/images/M/MV5BMTk3NzkwMjA3OV5BMl5BanBnXkFtZTYwMTIwOTk2._V1_SX300.jpg|8.5|331868|tt0078748|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0
21|Alien Showdown: The Day the Old West Stood Still|2013|N/A|41365|1 h 20 min|Rene Perez|Rene Perez, Barry Massoni|Robert Amstler, Nadia Lanfranconi, John J. Welsh, Gemma Donato|http://ia.media-imdb.com/images/M/MV5BMTQyODUzMzg5Nl5BMl5BanBnXkFtZTcwMTY0MjYzOA@@._V1_SX300.jpg|2.2|73|tt2349142|1|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|1
22|Aliens|1986|R|31611|2 h 34 min|James Cameron|James Cameron, David Giler|Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser|http://ia.media-imdb.com/images/M/MV5BMTYzNzU5MzQ4OV5BMl5BanBnXkFtZTcwMDcxNDg3OA@@._V1_SX300.jpg|8.5|300352|tt0090605|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0
23|Altered|2006|R|39283|1 h 28 min|Eduardo Sánchez|Eduardo Sánchez, Jamie Nash|Adam Kaufman, Catherine Mangan, Brad William Henke, Michael C. Williams|http://ia.media-imdb.com/images/M/MV5BMTM2OTQ3NDE4Nl5BMl5BanBnXkFtZTcwNjQyMzE0MQ@@._V1_SX300.jpg|5.6|6573|tt0457275|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|0|0
24|Alvin and the Chipmunks|2007|PG|39430|1 h 32 min|Tim Hill|Jon Vitti, Will McRobb|Jason Lee, David Cross, Cameron Richardson, Jane Lynch|http://ia.media-imdb.com/images/M/MV5BMTIwOTE4MTU4MV5BMl5BanBnXkFtZTcwMDk1MDU1MQ@@._V1_SX300.jpg|5.2|36700|tt0952640|0|0|1|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0
25|Always|1989|PG|32864|2 h 2 min|Steven Spielberg|Jerry Belson, Dalton Trumbo|Richard Dreyfuss, Holly Hunter, Brad Johnson, John Goodman|http://ia.media-imdb.com/images/M/MV5BMjAxMjM3NzI5Ml5BMl5BanBnXkFtZTcwNDQ1NTMyMQ@@._V1_SX300.jpg|6.2|16345|tt0096794|0|0|0|0|0|0|0|1|0|1|0|0|0|1|0|0|0|0
26|American Gangster|2007|R|39388|2 h 56 min|Ridley Scott|Steven Zaillian, Mark Jacobson|Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin|http://ia.media-imdb.com/images/M/MV5BMTkyNzY5MDA5MV5BMl5BanBnXkFtZTcwMjg4MzI3MQ@@._V1_SX300.jpg|7.8|224391|tt0765429|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0
27|American Splendor|2003|R|37876|1 h 41 min|Shari Springer Berman, Robert Pulcini|Harvey Pekar, Joyce Brabner|Paul Giamatti, Shari Springer Berman, Harvey Pekar, Chris Ambrose|http://ia.media-imdb.com/images/M/MV5BMjA0MjYxNjY1MV5BMl5BanBnXkFtZTcwNDkwMjAwMQ@@._V1_SX300.jpg|7.5|33531|tt0305206|0|0|0|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0
28|American Virgin|2009|R|40317|1 h 28 min|Clare Kilner|Jeff Seeman|Jenna Dewan-Tatum, Brianne Davis, Chase Ryan Jeffery, Rob Schneider|http://ia.media-imdb.com/images/M/MV5BMTM3NjcwMTkwOF5BMl5BanBnXkFtZTcwMzU2MzczNQ@@._V1_SX300.jpg|4.2|4775|tt1318044|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
29|Amistad|1997|R|35774|2 h 35 min|Steven Spielberg|David Franzoni|Djimon Hounsou, Matthew McConaughey, Anthony Hopkins, Morgan Freeman|http://ia.media-imdb.com/images/M/MV5BMjEzMDkxMTYyNl5BMl5BanBnXkFtZTYwMDA2ODk4._V1_SX300.jpg|7.1|39915|tt0118607|0|0|0|0|0|0|0|1|0|0|1|0|1|0|0|0|0|0
30|Angels & Demons|2009|PG-13|39948|2 h 18 min|Ron Howard|David Koepp, Akiva Goldsman|Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård|http://ia.media-imdb.com/images/M/MV5BMjEzNzM2MjgxMF5BMl5BanBnXkFtZTcwNTQ1MTM0Mg@@._V1_SX300.jpg|6.6|132313|tt0808151|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0
31|Annapolis|2006|PG-13|38744|1 h 48 min|Justin Lin|David Collard|James Franco, Jordana Brewster, Tyrese Gibson, Donnie Wahlberg|http://ia.media-imdb.com/images/M/MV5BNDQxMzA1Mjk5MF5BMl5BanBnXkFtZTcwMTM5NjEzMQ@@._V1_SX300.jpg|5.4|13759|tt0417433|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0
32|Annie Hall|1977|PG|28235|1 h 33 min|Woody Allen|Woody Allen, Marshall Brickman|Woody Allen, Diane Keaton, Tony Roberts, Carol Kane|http://ia.media-imdb.com/images/M/MV5BMTU1NDM2MjkwM15BMl5BanBnXkFtZTcwODU3OTYwNA@@._V1_SX300.jpg|8.2|116913|tt0075686|0|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0
33|Any Given Sunday|1999|R|36516|2 h 36 min|Oliver Stone|Daniel Pyne, John Logan|Al Pacino, Dennis Quaid, Cameron Diaz, James Woods|http://ia.media-imdb.com/images/M/MV5BMTMzMzM0MDU1OV5BMl5BanBnXkFtZTYwODA3NTU5._V1_SX300.jpg|6.7|74961|tt0146838|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
34|Any Last Words?|2011|PG-13|N/A|1 h 30 min|Vaughn Taylor|Vaughn Taylor|Tom Lagleder, Vaughn Taylor, Elizabeth Tinder, Madison Tinder|http://ia.media-imdb.com/images/M/MV5BMTQzMDIxMzUyMl5BMl5BanBnXkFtZTcwNjY4NDY3OA@@._V1_SX300.jpg|2.8|33|tt2116909|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
35|Apocalypto|2006|R|39059|2 h 19 min|Mel Gibson|Mel Gibson, Farhad Safinia|Gerardo Taracena, Raoul Trujillo, Dalia Hernández, Rudy Youngblood|http://ia.media-imdb.com/images/M/MV5BNTM1NjYyNTY5OV5BMl5BanBnXkFtZTcwMjgwNTMzMQ@@._V1_SX300.jpg|7.8|168849|tt0472043|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
36|Apollo 13|1995|PG|34880|2 h 20 min|Ron Howard|Jim Lovell, Jeffrey Kluger|Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise|http://ia.media-imdb.com/images/M/MV5BMTM2Njg2NjU5NF5BMl5BanBnXkFtZTYwODI5MDc4._V1_SX300.jpg|7.5|143517|tt0112384|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0
37|Are We There Yet?|2005|PG|38373|1 h 35 min|Brian Levant|Steven Gary Banks, Claudia Grazioso|Ice Cube, Nia Long, Aleisha Allen, Philip Bolden|http://ia.media-imdb.com/images/M/MV5BMTcyMTcyNDIwOV5BMl5BanBnXkFtZTcwNDY1NzgyMQ@@._V1_SX300.jpg|4.3|15101|tt0368578|0|1|0|0|1|0|0|1|1|0|0|0|0|1|0|0|0|0
38|Atonement|2007|R|39451|2 h 3 min|Joe Wright|Ian McEwan, Christopher Hampton|Keira Knightley, James McAvoy, Brenda Blethyn, Saoirse Ronan|http://ia.media-imdb.com/images/M/MV5BMTM0ODc2Mzg1Nl5BMl5BanBnXkFtZTcwMTg4MDU1MQ@@._V1_SX300.jpg|7.8|133808|tt0783233|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|1|0
39|Attack the Block|2011|R|40676|1 h 28 min|Joe Cornish|Joe Cornish|John Boyega, Jodie Whittaker, Alex Esmail, Leeon Jones|http://ia.media-imdb.com/images/M/MV5BMjAzNjc1MjgzOF5BMl5BanBnXkFtZTcwMzE3Njk5NQ@@._V1_SX300.jpg|6.6|56630|tt1478964|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0
40|Australia|2008|PG-13|39778|2 h 45 min|Baz Luhrmann|Stuart Beattie, Baz Luhrmann|Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo|http://ia.media-imdb.com/images/M/MV5BMjAzNTk5NzczMV5BMl5BanBnXkFtZTcwNzI5NTk5MQ@@._V1_SX300.jpg|6.6|75256|tt0455824|0|1|0|0|0|0|0|1|0|0|1|0|0|1|0|0|1|0
41|Avatar|2009|PG-13|40165|2 h 42 min|James Cameron|James Cameron|Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez|http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg|8|569577|tt0499549|1|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0
42|Backdraft|1991|R|33382|2 h 17 min|Ron Howard|Gregory Widen|Kurt Russell, William Baldwin, Robert De Niro, Donald Sutherland|http://ia.media-imdb.com/images/M/MV5BMTY2NTI5ODIwOV5BMl5BanBnXkFtZTcwMDI2ODMzMQ@@._V1_SX300.jpg|6.6|42926|tt0101393|1|0|0|0|0|1|0|1|0|0|0|0|1|0|0|1|0|0
43|Bait|2000|R|36784|1 h 59 min|Antoine Fuqua|Andrew Scheinman, Adam Scheinman|Jamie Foxx, David Morse, Robert Pastorelli, Doug Hutchison|http://ia.media-imdb.com/images/M/MV5BMTc2NzM2MjY1OV5BMl5BanBnXkFtZTYwMTkyNjc3._V1_SX300.jpg|5.6|6851|tt0211938|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
44|Bandidas|2006|PG-13|38735|1 h 33 min|Joachim Rønning, Espen Sandberg|Luc Besson, Robert Mark Kamen|Penélope Cruz, Salma Hayek, Steve Zahn, Dwight Yoakam|http://ia.media-imdb.com/images/M/MV5BNDI1MDEwNjM2OF5BMl5BanBnXkFtZTcwNzE2NTA0MQ@@._V1_SX300.jpg|5.6|20859|tt0416496|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|1
45|Barton Fink|1991|R|33471|1 h 56 min|Joel Coen|Joel Coen, Ethan Coen|John Turturro, John Goodman, Judy Davis, Michael Lerner|http://ia.media-imdb.com/images/M/MV5BMTI2NTkxNDc1OV5BMl5BanBnXkFtZTYwMjA2NTk5._V1_SX300.jpg|7.7|59461|tt0101410|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
46|Batman Begins|2005|PG-13|38518|2 h 20 min|Christopher Nolan|Bob Kane, David S. Goyer|Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson|http://ia.media-imdb.com/images/M/MV5BNTM3OTc0MzM2OV5BMl5BanBnXkFtZTYwNzUwMTI3._V1_SX300.jpg|8.3|555722|tt0372784|1|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0
47|Bedtime Stories|2008|PG|39807|1 h 39 min|Adam Shankman|Matt Lopez, Tim Herlihy|Adam Sandler, Keri Russell, Courteney Cox, Guy Pearce|http://ia.media-imdb.com/images/M/MV5BMjA5Njk5MTUxNF5BMl5BanBnXkFtZTcwMDI3MTg5MQ@@._V1_SX300.jpg|6|48584|tt0960731|0|0|0|0|1|0|0|0|1|1|0|0|0|1|0|0|0|0
48|Behind the Candelabra|2013|TV-MA|41432|1 h 58 min|Steven Soderbergh|Richard LaGravenese, Scott Thorson|Matt Damon, Scott Bakula, Dan Aykroyd, Eric Zuckerman|http://ia.media-imdb.com/images/M/MV5BMTg0OTY2OTM0OF5BMl5BanBnXkFtZTcwMTk4OTQ1OQ@@._V1_SX300.jpg|7|2961|tt1291580|0|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0
49|Ben-Hur|1959|G|22005|3 h 32 min|William Wyler|Lew Wallace, Karl Tunberg|Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet|http://ia.media-imdb.com/images/M/MV5BNzQyOTQ0ODk2NF5BMl5BanBnXkFtZTcwNTkwOTI3MQ@@._V1_SX300.jpg|8.1|98657|tt0052618|1|1|0|0|0|0|0|1|0|0|1|0|0|1|0|0|0|0
50|Beyond Borders|2003|R|37918|2 h 7 min|Martin Campbell|Caspian Tredwell-Owen|Clive Owen, Angelina Jolie, Linus Roache, Teri Polo|http://ia.media-imdb.com/images/M/MV5BMTI0NDk2MzMyM15BMl5BanBnXkFtZTYwMTY3Njk2._V1_SX300.jpg|6.2|16477|tt0294357|0|1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|0
51|Biohazard: Degeneration|2008|R|39739|1 h 37 min|Makoto Kamiya|Shotaro Suga|Paul Mercier, Alyson Court, Laura Bailey, Roger Craig Smith|http://ia.media-imdb.com/images/M/MV5BMTgwMDE4NzcxMl5BMl5BanBnXkFtZTcwNjU1NjcwMg@@._V1_SX300.jpg|6.5|18548|tt1174954|1|0|1|0|0|0|0|0|0|0|0|1|0|0|1|1|0|0
52|Bird|1988|R|32416|2 h 41 min|Clint Eastwood|Joel Oliansky|Forest Whitaker, Diane Venora, Michael Zelniker, Samuel E. Wright|http://ia.media-imdb.com/images/M/MV5BMTkzNDYwOTg1OF5BMl5BanBnXkFtZTcwMTE1NzYyMQ@@._V1_SX300.jpg|7.1|6491|tt0094747|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0
53|Black Hawk Down|2001|R|37274|2 h 32 min|Ridley Scott|Mark Bowden, Ken Nolan|Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana|http://ia.media-imdb.com/images/M/MV5BMTc0NTY1NjcyMV5BMl5BanBnXkFtZTcwNjk2MjAyMQ@@._V1_SX300.jpg|7.7|191701|tt0265086|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|1|0
54|Black Rain|1989|R|32773|2 h 5 min|Ridley Scott|Craig Bolotin, Warren Lewis|Michael Douglas, Andy Garcia, Ken Takakura, Kate Capshaw|http://ia.media-imdb.com/images/M/MV5BMTg4MTEwNjYzNF5BMl5BanBnXkFtZTcwNDk4OTUzMQ@@._V1_SX300.jpg|6.5|28526|tt0096933|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|0
55|Black Swan|2010|R|40529|1 h 48 min|Darren Aronofsky|Mark Heyman, Andres Heinz|Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder|http://ia.media-imdb.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg|8.1|343313|tt0947798|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0
56|Blade Runner|1982|R|30127|1 h 57 min|Ridley Scott|Hampton Fancher, David Webb Peoples|Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos|http://ia.media-imdb.com/images/M/MV5BMTkxNTQ5NTI0Ml5BMl5BanBnXkFtZTYwODgzMDc4._V1_SX300.jpg|8.3|302995|tt0083658|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|1|0|0
57|Blood Simple.|1984|R|31065|1 h 39 min|Joel Coen|Joel Coen, Ethan Coen|John Getz, Frances McDormand, Dan Hedaya, M. Emmet Walsh|http://ia.media-imdb.com/images/M/MV5BMTU5OTM3OTQ5M15BMl5BanBnXkFtZTYwNzEzMDc5._V1_SX300.jpg|7.7|47099|tt0086979|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
58|Blood Work|2002|R|37477|1 h 50 min|Clint Eastwood|Michael Connelly, Brian Helgeland|Clint Eastwood, Jeff Daniels, Anjelica Huston, Wanda De Jesus|http://ia.media-imdb.com/images/M/MV5BMTIxMDMzMDk1NV5BMl5BanBnXkFtZTYwNzgxNDY3._V1_SX300.jpg|6.3|25491|tt0309377|1|0|0|0|0|1|0|1|0|0|0|0|1|0|0|1|0|0
59|Blue Steel|1989|R|32948|1 h 42 min|Kathryn Bigelow|Kathryn Bigelow, Eric Red|Jamie Lee Curtis, Ron Silver, Clancy Brown, Elizabeth Peña|http://ia.media-imdb.com/images/M/MV5BMjAxOTY3NDYyNl5BMl5BanBnXkFtZTcwNTk1NzAyMQ@@._V1_SX300.jpg|5.5|6700|tt0099160|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|0
60|Body of Lies|2008|R|39731|2 h 8 min|Ridley Scott|William Monahan, David Ignatius|Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani|http://ia.media-imdb.com/images/M/MV5BMTgzOTY3MTM0OV5BMl5BanBnXkFtZTcwNjc5MTI5MQ@@._V1_SX300.jpg|7.1|117724|tt0758774|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
61|Born on the Fourth of July|1989|R|32862|2 h 25 min|Oliver Stone|Ron Kovic, Oliver Stone|Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans|http://ia.media-imdb.com/images/M/MV5BMTU2ODI1NTM4NF5BMl5BanBnXkFtZTcwNTY0MDcyMQ@@._V1_SX300.jpg|7.1|52640|tt0096969|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|1|0
62|Botched|2007|16|39556|1 h 35 min|Kit Ryan|Raymond Friel, Derek Boyle|David Heap, Alan Smyth, Stephen Dorff, Sean Pertwee|http://ia.media-imdb.com/images/M/MV5BNTY3NTk4MzIyM15BMl5BanBnXkFtZTcwODY3NzU4MQ@@._V1_SX300.jpg|5.7|4385|tt0790590|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|1|0|0
63|Braveheart|1995|R|34843|2 h 57 min|Mel Gibson|Randall Wallace|Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen|http://ia.media-imdb.com/images/M/MV5BNjA4ODYxMDU3Nl5BMl5BanBnXkFtZTcwMzkzMTk3OA@@._V1_SX300.jpg|8.4|445466|tt0112573|1|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0
64|Breathing Room|2008|MA|39721|1 h 29 min|John Suits, Gabriel Cowan|John Suits, Gabriel Cowan|Ailsa Marshall, Michael McLafferty, David Higlen, Brad Culver|http://ia.media-imdb.com/images/M/MV5BMTg4NzkxNzIyNF5BMl5BanBnXkFtZTcwNDg1NTU3MQ@@._V1_SX300.jpg|4.3|1975|tt1220706|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0
65|Bringing Out the Dead|1999|R|36455|2 h 1 min|Martin Scorsese|Joe Connelly, Paul Schrader|Nicolas Cage, Patricia Arquette, John Goodman, Ving Rhames|http://ia.media-imdb.com/images/M/MV5BMTQ4MjgzMDc1Nl5BMl5BanBnXkFtZTYwOTc5ODk4._V1_SX300.jpg|6.8|41892|tt0163988|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
66|Bubble|2005|R|38744|1 h 13 min|Steven Soderbergh|Coleman Hough|Debbie Doebereiner, Omar Cowan, Dustin James Ashley, Phyllis Workman|http://ia.media-imdb.com/images/M/MV5BMTYzMjc0MzU3N15BMl5BanBnXkFtZTcwOTI2NTEzMQ@@._V1_SX300.jpg|6.6|5627|tt0454792|0|0|0|0|0|1|0|1|0|0|0|0|1|0|0|0|0|0
